2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - === DEEPGRAM TRANSCRIPT RECEIVED ===
2025-03-31 07:45:07 - INFO - About to emit transcript event: text='Ciao ciao!', final=False
2025-03-31 07:45:07 - INFO - Emitted transcript event: 'Ciao ciao!', Final: False
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - === DEEPGRAM TRANSCRIPT RECEIVED ===
2025-03-31 07:45:07 - INFO - About to emit transcript event: text='Ciao ciao!', final=True
2025-03-31 07:45:07 - INFO - Reset transcript parts after final message
2025-03-31 07:45:07 - INFO - Emitted transcript event: 'Ciao ciao!', Final: True
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:07 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:07 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:08 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:08 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:08 - INFO - Audio chunk length: 1366 bytes
2025-03-31 07:45:08 - INFO - Sent 1366 bytes to Deepgram
2025-03-31 07:45:08 - INFO - Audio chunk length: 1366 bytes
